15,20,25,30,35,40,45
0.0127,0.0849,0.1445,0.0878,0.028,0.0058,5e-04
0.0118,0.0842,0.1412,0.0842,0.0293,0.0055,4e-04
0.0114,0.0802,0.1364,0.0845,0.031,0.0049,3e-04
0.0104,0.0724,0.1255,0.0799,0.0295,0.0039,2e-04
0.0103,0.0686,0.1242,0.083,0.0321,0.0049,2e-04
0.0096,0.068,0.1239,0.0856,0.0311,0.0045,2e-04
0.0086,0.0604,0.1101,0.0744,0.0284,0.0047,2e-04
0.0077,0.0597,0.1248,0.0925,0.0335,0.0059,2e-04
0.0073,0.065,0.1475,0.1189,0.0449,0.0074,1e-05
0.0072,0.0597,0.1297,0.1045,0.0421,0.0076,2e-04
0.0083,0.0587,0.136,0.1108,0.0443,0.0074,1e-04
0.0084,0.0535,0.1292,0.1068,0.0417,0.0065,3e-04
0.0079,0.0521,0.1284,0.1072,0.0417,0.0067,2e-04
0.0083,0.0498,0.13,0.1088,0.0436,0.0072,2e-04
0.0074,0.0469,0.1292,0.1092,0.0426,0.0067,1e-04
0.0066,0.0469,0.1256,0.1074,0.0413,0.0065,2e-04
0.0068,0.0448,0.1228,0.1085,0.0426,0.007,2e-04
0.0068,0.042,0.1169,0.1073,0.0417,0.007,2e-04
0.0075,0.0397,0.1052,0.0961,0.0398,0.0066,2e-04
0.0084,0.0373,0.1051,0.0975,0.0386,0.0064,2e-04
0.0088,0.0422,0.1101,0.1079,0.0433,0.0076,2e-04
0.0084,0.0357,0.0962,0.0949,0.0395,0.0068,2e-04
0.008,0.0346,0.0916,0.0962,0.0382,0.0058,2e-04
0.0067,0.0324,0.0822,0.09,0.0363,0.0061,2e-04
0.0066,0.0322,0.0806,0.0899,0.0356,0.0063,2e-04
0.0072,0.0325,0.0807,0.0892,0.0368,0.0062,2e-04
0.0066,0.0306,0.0796,0.0931,0.0387,0.0064,2e-04
0.0061,0.0312,0.0787,0.0944,0.0415,0.0064,2e-04
0.0061,0.0291,0.0789,0.0946,0.0415,0.0066,2e-04
0.005,0.0254,0.0742,0.0901,0.0426,0.007,3e-04
0.0048,0.0233,0.0681,0.086,0.0422,0.0061,3e-04
0.0047,0.0224,0.0734,0.0895,0.0424,0.0072,3e-04
0.0043,0.0222,0.0767,0.0995,0.0463,0.008,3e-04
0.0038,0.0197,0.0705,0.0902,0.0447,0.008,3e-04
0.0033,0.0195,0.0711,0.0993,0.0483,0.0083,3e-04
0.0027,0.0187,0.0687,0.0985,0.0499,0.0089,4e-04
0.0027,0.017,0.0658,0.0962,0.0497,0.0088,3e-04
0.0026,0.0151,0.0622,0.0933,0.0486,0.009,5e-04
0.0025,0.0144,0.0606,0.0929,0.0484,0.0088,5e-04
0.00305524032824799,0.014975930812177,0.0589944152503942,0.0923508036187309,0.0475472175696438,0.00834342314999319,0.000526642153340091
