"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history"
87,1,60,80,1,20,15,2,1,60,80,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
88,1,60,80,1,20,15,2,1,50,85,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
89,1,60,80,1,20,15,2,1,55,85,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
90,1,60,80,1,20,15,2,1,60,85,0.4,5,1,0,0,0,0,0,0,0,0,0,0,0,0
91,1,60,80,1,20,15,2,1,50,75,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
92,1,60,80,1,20,15,2,1,55,75,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
93,1,60,80,1,20,15,2,1,60,75,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
94,1,60,80,1,20,15,2,1,50,80,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1,60,80,1,20,15,2,1,55,80,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
96,1,60,80,1,20,15,2,1,60,80,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
97,1,60,80,1,20,15,2,1,50,85,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
98,1,60,80,1,20,15,2,1,55,85,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
99,1,60,80,1,20,15,2,1,60,85,0.7,5,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1,60,80,1,20,15,2,1,50,75,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
101,1,60,80,1,20,15,2,1,55,75,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
102,1,60,80,1,20,15,2,1,60,75,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
103,1,60,80,1,20,15,2,1,50,80,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
104,1,60,80,1,20,15,2,1,55,80,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
105,1,60,80,1,20,15,2,1,60,80,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
106,1,60,80,1,20,15,2,1,50,85,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
107,1,60,80,1,20,15,2,1,55,85,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
108,1,60,80,1,20,15,2,1,60,85,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
109,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.4,2,1
110,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.4,2,1
111,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.4,2,1
112,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.4,2,1
113,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.4,2,1
114,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.4,2,1
115,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.4,2,1
116,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.4,2,1
117,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.4,2,1
118,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.7,2,1
119,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.7,2,1
120,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.7,2,1
121,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.7,2,1
122,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.7,2,1
123,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.7,2,1
124,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.7,2,1
125,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.7,2,1
126,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.7,2,1
127,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,1,2,1
128,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,1,2,1
129,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,1,2,1
130,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,1,2,1
131,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,1,2,1
132,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,1,2,1
133,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,1,2,1
134,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,1,2,1
135,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,1,2,1
136,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.4,3,1
137,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.4,3,1
138,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.4,3,1
139,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.4,3,1
140,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.4,3,1
141,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.4,3,1
142,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.4,3,1
143,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.4,3,1
144,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.4,3,1
145,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.7,3,1
146,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.7,3,1
147,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.7,3,1
148,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.7,3,1
149,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.7,3,1
150,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.7,3,1
151,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.7,3,1
152,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.7,3,1
153,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.7,3,1
154,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,1,3,1
155,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,1,3,1
156,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,1,3,1
157,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,1,3,1
158,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,1,3,1
159,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,1,3,1
160,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,1,3,1
161,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,1,3,1
162,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,1,3,1
163,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.4,4,1
164,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.4,4,1
165,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.4,4,1
166,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.4,4,1
167,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.4,4,1
168,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.4,4,1
169,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.4,4,1
170,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.4,4,1
171,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.4,4,1
172,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.7,4,1
173,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.7,4,1
174,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.7,4,1
175,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.7,4,1
176,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.7,4,1
177,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.7,4,1
178,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.7,4,1
179,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.7,4,1
180,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.7,4,1
181,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,1,4,1
182,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,1,4,1
183,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,1,4,1
184,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,1,4,1
185,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,1,4,1
186,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,1,4,1
187,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,1,4,1
188,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,1,4,1
189,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,1,4,1
190,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,75,0.4,5,1
191,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,75,0.4,5,1
192,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,75,0.4,5,1
193,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,80,0.4,5,1
194,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,80,0.4,5,1
195,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,80,0.4,5,1
196,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,50,85,0.4,5,1
197,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,55,85,0.4,5,1
198,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,1,60,85,0.4,5,1
