"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta0",-3.32496644283595,0.00180291614810358,0.0994162697373988,-3.51853729552046,-3.39223750994201,-3.32384027306928,-3.25927673060203,-3.12987151756833,3040.6320589271,1.00060536373709
"log_tau01",1.01372431300026,0.00179264198647442,0.0955173499343996,0.824721111019004,0.949732195671455,1.01422295311539,1.07732410397972,1.2012531622974,2839.07850328649,1.00129996883732
"z01[1]",0.00834248335239524,0.000812095754306175,0.0423420741649,-0.0733589034002795,-0.0200011504905763,0.00817180161753048,0.0367509670814603,0.0908234656829932,2718.50275259669,1.00085773156942
"z01[2]",-0.939153651839598,0.00195833027008988,0.106002491321956,-1.16924366743303,-1.00676849655356,-0.934619083904888,-0.86620283966353,-0.74800742308608,2929.9504172963,1.00154660693937
"z01[3]",0.28536476147069,0.0010201598093899,0.0552266773512652,0.184672396929546,0.246766397656407,0.283335818296921,0.322326415225593,0.399309399128528,2930.63283104568,1.00083795886601
"z01[4]",-0.849362251058872,0.00200370165131947,0.118845405366827,-1.10127461561609,-0.92580403064465,-0.843901686757499,-0.766583440135228,-0.62978218415796,3518.02304835883,1.00088539944842
"z01[5]",0.10998713096177,0.000898738300364662,0.0505923311389165,0.0144944711456436,0.0752831517399177,0.10907176915258,0.144290258067897,0.21091395164196,3168.85875542353,1.00131821683644
"z01[6]",-1.17533269361894,0.0027222718892264,0.171539409625559,-1.53916882563836,-1.28354079088164,-1.16308612572516,-1.05655091831649,-0.872839050329333,3970.67942066434,1.00050129206054
"z01[7]",0.175000639241332,0.00105445127247576,0.0642569360122496,0.053557815765823,0.131032116888706,0.173555859762429,0.216491665220489,0.306786472136719,3713.53050392795,1.00013828775067
"z01[8]",-0.898547077986448,0.00244909875818059,0.16566350092379,-1.25904988951979,-1.00259322406656,-0.886457063396492,-0.780161736598681,-0.604048107421959,4575.52648653252,1.00068228638653
"log_s01",1.79089332455442,8.52887318480009e-06,0.00087071438933916,1.78858041580178,1.79055812813322,1.79115732828339,1.79151391163069,1.79173685664931,10422.4094179091,1.00012907259051
"log_beta_yob01",-3.10440938081298,0.0030140898955632,0.234533868128227,-3.61291686811585,-3.25492761488681,-3.08866757884651,-2.93822956123753,-2.69121918101751,6054.78505968255,1.00032259704441
"gamma0",-3.27933744498917,0.00150509447198119,0.100315834820815,-3.47956728606467,-3.34585688705163,-3.27795359978505,-3.21264648283834,-3.07793556986433,4442.33659688866,1.00010233627658
"log_gamma1",-5.70373132738741,0.00435387790139191,0.378684446143792,-6.49643703356993,-5.95132196109239,-5.68544047038314,-5.43256044353102,-5.03009770429507,7564.8869749615,1.00023131887145
"log_tau12",0.970826498338013,0.00190807055992684,0.0961683837864323,0.781179825421279,0.905955111026653,0.969107642669417,1.03585755556279,1.16012724782804,2540.2459821731,1.00107550769433
"z12[1]",0.594321768690379,0.00173197489893276,0.0732183838633961,0.46046853226085,0.543072792162076,0.592342890652421,0.641973296997209,0.745536154669889,1787.13388715681,1.00100009842722
"z12[2]",0.624245964930035,0.00185105810423304,0.0888302996722524,0.462291942157742,0.561474026784642,0.62085439728251,0.682330130442134,0.804456419560783,2302.93750014164,1.00054940354291
"z12[3]",0.641932805237117,0.00184354913841918,0.0784304960229029,0.497199902039606,0.586755413854306,0.63977261223137,0.693319513754026,0.80504141619092,1809.92461934233,1.00116692311522
"z12[4]",0.558403169891726,0.00184074348152389,0.110234863631222,0.356346508414405,0.483721915026664,0.552829522784938,0.629471744525382,0.786670446399591,3586.33946997213,1.00034070319505
"z12[5]",0.601588205606015,0.00174504179012342,0.0775104654132623,0.458708202238273,0.546959591506842,0.599446747087727,0.652223446851597,0.762060400551269,1972.91795631324,1.0009565445622
"z12[6]",0.4084719847986,0.0019624228791876,0.147789098697349,0.112890443302008,0.311308363805978,0.408637714512994,0.507800846461067,0.697622509983211,5671.52177859282,1.00107667239271
"z12[7]",0.652426018108001,0.00192079630003503,0.0916854448391964,0.485533496377849,0.58888676239893,0.648928721666147,0.712145753514804,0.843577018210062,2278.44301906257,1.00099262820845
"z12[8]",0.416045143034676,0.00245796516211842,0.195382920856882,0.0234514603289177,0.291342536774554,0.421137314338766,0.545419913344838,0.796153471745643,6318.61289180791,1.00023049428716
"log_beta_yob12",-1.98690092830005,0.0015763657637828,0.123592981582932,-2.24666818510257,-2.06654207711702,-1.97884830593065,-1.89982245397763,-1.76481041088899,6147.14745011882,0.999925388682059
