"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history"
54,1,50,80,1,20,15,1,1,60,85,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,50,80,1,20,15,1,1,50,75,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
56,1,50,80,1,20,15,1,1,55,75,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
57,1,50,80,1,20,15,1,1,60,75,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1,50,80,1,20,15,1,1,50,80,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
59,1,50,80,1,20,15,1,1,55,80,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
60,1,50,80,1,20,15,1,1,60,80,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
61,1,50,80,1,20,15,1,1,50,85,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
62,1,50,80,1,20,15,1,1,55,85,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
63,1,50,80,1,20,15,1,1,60,85,0.4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
64,1,50,80,1,20,15,1,1,50,75,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
65,1,50,80,1,20,15,1,1,55,75,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
66,1,50,80,1,20,15,1,1,60,75,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
67,1,50,80,1,20,15,1,1,50,80,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
68,1,50,80,1,20,15,1,1,55,80,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
69,1,50,80,1,20,15,1,1,60,80,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
70,1,50,80,1,20,15,1,1,50,85,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
71,1,50,80,1,20,15,1,1,55,85,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
72,1,50,80,1,20,15,1,1,60,85,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
73,1,50,80,1,20,15,1,1,50,75,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
74,1,50,80,1,20,15,1,1,55,75,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
75,1,50,80,1,20,15,1,1,60,75,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
76,1,50,80,1,20,15,1,1,50,80,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
77,1,50,80,1,20,15,1,1,55,80,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
78,1,50,80,1,20,15,1,1,60,80,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
79,1,50,80,1,20,15,1,1,50,85,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
80,1,50,80,1,20,15,1,1,55,85,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
81,1,50,80,1,20,15,1,1,60,85,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
82,1,50,80,1,20,15,1,1,50,75,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
83,1,50,80,1,20,15,1,1,55,75,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
84,1,50,80,1,20,15,1,1,60,75,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
85,1,50,80,1,20,15,1,1,50,80,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
86,1,50,80,1,20,15,1,1,55,80,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
87,1,50,80,1,20,15,1,1,60,80,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
88,1,50,80,1,20,15,1,1,50,85,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
89,1,50,80,1,20,15,1,1,55,85,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
90,1,50,80,1,20,15,1,1,60,85,0.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0
91,1,50,80,1,20,15,1,1,50,75,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
92,1,50,80,1,20,15,1,1,55,75,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
93,1,50,80,1,20,15,1,1,60,75,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
94,1,50,80,1,20,15,1,1,50,80,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1,50,80,1,20,15,1,1,55,80,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
96,1,50,80,1,20,15,1,1,60,80,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
97,1,50,80,1,20,15,1,1,50,85,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
98,1,50,80,1,20,15,1,1,55,85,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
99,1,50,80,1,20,15,1,1,60,85,0.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0
100,1,50,80,1,20,15,1,1,50,75,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
