sim_year,agent_race,agent_age,birth_prob
1990,chinese,15,0.0
1990,malay,15,0.0
1990,indian,15,0.0
1990,other,15,0.0
1990,chinese,16,0.00021431967213114925
1990,malay,16,0.00034940601092896457
1990,indian,16,0.0002454934426229528
1990,other,16,0.00034940601092896457
1990,chinese,17,0.007406786885245904
1990,malay,17,0.01207530710382514
1990,indian,17,0.008484137704918035
1990,other,17,0.01207530710382514
1990,chinese,18,0.014521622950819673
1990,malay,18,0.023674645901639348
1990,indian,18,0.016633859016393443
1990,other,18,0.023674645901639348
1990,chinese,19,0.021346221311475407
1990,malay,19,0.03480080928961748
1990,indian,19,0.02445112622950819
1990,other,19,0.03480080928961748
1990,chinese,20,0.02849171311475409
1990,malay,20,0.046450126229508185
1990,indian,20,0.032635962295081956
1990,other,20,0.046450126229508185
1990,chinese,21,0.03729
1990,malay,21,0.060793999999999994
1990,indian,21,0.04271399999999999
1990,other,21,0.060793999999999994
1990,chinese,22,0.04938188524590164
1990,malay,22,0.08050743715846995
1990,indian,22,0.05656470491803278
1990,other,22,0.08050743715846995
1990,chinese,23,0.06553295081967213
1990,malay,23,0.10683856830601093
1990,indian,23,0.07506501639344262
1990,other,23,0.10683856830601093
1990,chinese,24,0.08393459836065573
1990,malay,24,0.13683883005464478
1990,indian,24,0.09614326721311474
1990,other,24,0.13683883005464478
1990,chinese,25,0.10345076229508196
1990,malay,25,0.1686560912568306
1990,indian,25,0.11849814590163933
1990,other,25,0.1686560912568306
1990,chinese,26,0.12026245901639346
1990,malay,26,0.19606425136612024
1990,indian,26,0.13775518032786885
1990,other,26,0.19606425136612024
1990,chinese,27,0.13061598360655738
1990,malay,27,0.21294363387978144
1990,indian,27,0.14961467213114754
1990,other,27,0.21294363387978144
1990,chinese,28,0.1321172131147541
1990,malay,28,0.21539109289617486
1990,indian,28,0.15133426229508196
1990,other,28,0.21539109289617486
1990,chinese,29,0.12666833606557376
1990,malay,29,0.20650777213114752
1990,indian,29,0.14509282131147538
1990,other,29,0.20650777213114752
1990,chinese,30,0.11903924999999997
1990,malay,30,0.19407004999999997
1990,indian,30,0.13635404999999995
1990,other,30,0.19407004999999997
1990,chinese,31,0.11138401639344259
1990,malay,31,0.18158969945355186
1990,indian,31,0.1275853278688524
1990,other,31,0.18158969945355186
1990,chinese,32,0.10160979508196719
1990,malay,32,0.16565475683060107
1990,indian,32,0.11638940163934423
1990,other,32,0.16565475683060107
1990,chinese,33,0.09008368852459014
1990,malay,33,0.1468637103825136
1990,indian,33,0.10318677049180325
1990,other,33,0.1468637103825136
1990,chinese,34,0.07739144672131146
1990,malay,34,0.1261715101092896
1990,indian,34,0.08864838442622948
1990,other,34,0.1261715101092896
1990,chinese,35,0.06339574999999999
1990,malay,35,0.10335428333333331
1990,indian,35,0.07261694999999997
1990,other,35,0.10335428333333331
1990,chinese,36,0.04937106557377049
1990,malay,36,0.08048979781420765
1990,indian,36,0.056552311475409824
1990,other,36,0.08048979781420765
1990,chinese,37,0.0372769262295082
1990,malay,37,0.06077268579234973
1990,indian,37,0.042699024590163934
1990,other,37,0.06077268579234973
1990,chinese,38,0.028168114754098358
1990,malay,38,0.045922562841530054
1990,indian,38,0.03226529508196721
1990,other,38,0.045922562841530054
1990,chinese,39,0.021501258196721308
1990,malay,39,0.03505356639344262
1990,indian,39,0.024628713934426224
1990,other,39,0.03505356639344262
1990,chinese,40,0.015437508196721314
1990,malay,40,0.02516781639344263
1990,indian,40,0.01768296393442623
1990,other,40,0.02516781639344263
1990,chinese,41,0.009517704918032789
1990,malay,41,0.01551674316939891
1990,indian,41,0.010902098360655739
1990,other,41,0.01551674316939891
1990,chinese,42,0.005099672131147541
1990,malay,42,0.008314010928961748
1990,indian,42,0.005841442622950819
1990,other,42,0.008314010928961748
1990,chinese,43,0.0023550819672131158
1990,malay,43,0.003839497267759565
1990,indian,43,0.002697639344262296
1990,other,43,0.003839497267759565
1990,chinese,44,0.0009506885245901645
1990,malay,44,0.001549910382513662
1990,indian,44,0.0010889704918032792
1990,other,44,0.001549910382513662
1990,chinese,45,0.00038157377049180357
1990,malay,45,0.0006220808743169404
1990,indian,45,0.0004370754098360659
1990,other,45,0.0006220808743169404
1990,chinese,46,0.00020340983606557394
1990,malay,46,0.00033161967213114784
1990,indian,46,0.0002329967213114756
1990,other,46,0.00033161967213114784
1990,chinese,47,0.00011324590163934441
1990,malay,47,0.0001846251366120221
1990,indian,47,0.0001297180327868854
1990,other,47,0.0001846251366120221
1990,chinese,48,0.0
1990,malay,48,0.0
1990,indian,48,0.0
1990,other,48,0.0
1990,chinese,49,0.0
1990,malay,49,0.0
1990,indian,49,0.0
1990,other,49,0.0
1991,chinese,15,0.0
1991,malay,15,0.0
1991,indian,15,0.0
1991,other,15,0.0
1991,chinese,16,0.001135060115606937
1991,malay,16,0.0019384468208092495
1991,indian,16,0.0013561757225433535
1991,other,16,0.0019384468208092495
1991,chinese,17,0.007698575722543355
1991,malay,17,0.013147567630057805
1991,indian,17,0.009198298265895957
1991,other,17,0.013147567630057805
1991,chinese,18,0.013877269364161848
1991,malay,18,0.023699492485549128
1991,indian,18,0.01658063352601156
1991,other,18,0.023699492485549128
1991,chinese,19,0.019518565317919078
1991,malay,19,0.03333365375722543
1991,indian,19,0.023320883236994227
1991,other,19,0.03333365375722543
1991,chinese,20,0.025342969942196533
1991,malay,20,0.04328052658959537
1991,indian,20,0.030279912138728327
1991,other,20,0.04328052658959537
1991,chinese,21,0.03283493641618497
1991,malay,21,0.05607524855491329
1991,indian,21,0.03923135260115607
1991,other,21,0.05607524855491329
1991,chinese,22,0.04380632369942197
1991,malay,22,0.07481209826589597
1991,indian,22,0.0523400231213873
1991,other,22,0.07481209826589597
1991,chinese,23,0.05914134104046244
1991,malay,23,0.10100112138728325
1991,indian,23,0.0706623815028902
1991,other,23,0.10100112138728325
1991,chinese,24,0.0769958161849711
1991,malay,24,0.1314928549132948
1991,indian,24,0.09199500115606937
1991,other,24,0.1314928549132948
1991,chinese,25,0.09599180520231212
1991,malay,25,0.16393405693641613
