"Year","Time","Stage","Smoke","S_hat","S_low","S_high","S_obs","S_obs_low","S_obs_high"
2008,0,"Stage1","Smoke0",1,1,1,1,1,1
2008,1,"Stage1","Smoke0",0.927518463065295,0.919347352503114,0.934253351223315,0.931034482758621,0.868053124803479,0.998585435979918
2008,2,"Stage1","Smoke0",0.861830384876401,0.848033234920891,0.873522836769821,0.896551724137931,0.821503782198821,0.978455621839315
2008,3,"Stage1","Smoke0",0.802193714334798,0.784645437420265,0.81734509284921,0.810344827586207,0.715481959751875,0.917785180528443
2008,4,"Stage1","Smoke0",0.747957465822498,0.728019320995695,0.765479523223712,0.775862068965517,0.675633067680946,0.890959869867881
2008,5,"Stage1","Smoke0",0.698549440450432,0.676492254197605,0.717785378335281,0.741379310344828,0.636835713891643,0.863084889584087
2008,6,"Stage1","Smoke0",0.653465739356077,0.630787856509896,0.674195516667139,0.655172413793104,0.54358867562273,0.789661210847956
2008,7,"Stage1","Smoke0",0.612261788983596,0.588306658016242,0.633839262934448,0.603448275862069,0.489819258779906,0.743437125253031
2008,8,"Stage1","Smoke0",0.57454464476725,0.549757460409938,0.597011068389282,0.568965517241379,0.454782957559425,0.711815943031354
2008,9,"Stage1","Smoke0",0.53996637798341,0.515415772947036,0.563739819698455,0.568965517241379,0.454782957559425,0.711815943031354
2008,10,"Stage1","Smoke0",0.508218382235663,0.483008291037047,0.532722705188055,0.568965517241379,0.454782957559425,0.711815943031354
2008,11,"Stage1","Smoke0",0.479026462300626,0.452940338955715,0.505134483233594,0.517241379310345,0.403380485681102,0.663241415903233
2008,12,"Stage1","Smoke0",0.452146589868614,0.424148052392348,0.478973638072878,0.517241379310345,0.403380485681102,0.663241415903233
2008,13,"Stage1","Smoke0",0.427361228857968,0.396952630228733,0.456671094404005,0.482758620689655,0.369861323994053,0.630116940407442
2008,14,"Stage1","Smoke0",0.404476148111236,0.372637625963734,0.436229336541679,0.482758620689655,0.369861323994053,0.630116940407442
2008,15,"Stage1","Smoke0",0.383317651922333,0.349728177479788,0.41685290038026,0.396551724137931,0.28868478490114,0.544723096406404
2009,0,"Stage1","Smoke0",1,1,1,1,1,1
2009,1,"Stage1","Smoke0",0.930201901927004,0.922590387078541,0.93646161775994,0.959183673469388,0.90535221346616,1
2009,2,"Stage1","Smoke0",0.866764868881012,0.853954846786965,0.877765033248797,0.897959183673469,0.817081110545935,0.986842903521257
2009,3,"Stage1","Smoke0",0.809011100812157,0.792824265261994,0.822920132560268,0.816326530612245,0.7147988781166,0.932274832799501
2009,4,"Stage1","Smoke0",0.756344119885724,0.737290383193539,0.772301335030075,0.795918367346939,0.690707007062585,0.917155959043016
2009,5,"Stage1","Smoke0",0.708238033405872,0.687097944732909,0.725983722691258,0.755102040816326,0.643805898170305,0.885638192606544
2009,6,"Stage1","Smoke0",0.664228333085211,0.641491528769233,0.682837326414818,0.714285714285714,0.598363690642311,0.852665510310254
2009,7,"Stage1","Smoke0",0.62390399502703,0.600239351423883,0.643821724637859,0.673469387755102,0.554174240164916,0.818444783915357
2009,8,"Stage1","Smoke0",0.586900683202263,0.562159562769508,0.607589806876991,0.673469387755102,0.554174240164916,0.818444783915357
2009,9,"Stage1","Smoke0",0.5528948910049,0.527887206020805,0.57504043247888,0.653061224489796,0.53250448358735,0.800911496667524
2009,10,"Stage1","Smoke0",0.521598881853538,0.495553973791934,0.545390924404859,0.63265306122449,0.51110032034025,0.783114155769387
2009,11,"Stage1","Smoke0",0.492756311743004,0.464646516961605,0.518332913551878,0.612244897959183,0.489951387931996,0.765063278337071
2009,12,"Stage1","Smoke0",0.46613843492658,0.435854955490114,0.493084808222398,0.551020408163265,0.427959527716074,0.709467766339456
2009,13,"Stage1","Smoke0",0.441540809168454,0.409269723765277,0.470317728898148,0.510204081632653,0.387793505511052,0.671254678624833
2009,14,"Stage1","Smoke0",0.418780429771634,0.384232966399616,0.449849204432999,0.510204081632653,0.387793505511052,0.671254678624833
2009,15,"Stage1","Smoke0",0.397693232287463,0.358453176255403,0.431294113196077,NA,NA,NA
2010,0,"Stage1","Smoke0",1,1,1,1,1,1
2010,1,"Stage1","Smoke0",0.932789631250416,0.925645355111116,0.938779807136558,0.985294117647059,0.957095227792418,1
2010,2,"Stage1","Smoke0",0.87153653644981,0.859131836271358,0.881940323719174,0.911764705882353,0.846781748609623,0.981734526349575
2010,3,"Stage1","Smoke0",0.81562136882003,0.799751119872386,0.829035831553316,0.852941176470588,0.772783637592965,0.941413113746876
2010,4,"Stage1","Smoke0",0.764497444027679,0.746414059492514,0.780084750557732,0.808823529411765,0.720558805518026,0.907900225103471
2010,5,"Stage1","Smoke0",0.717681344262751,0.69754040055518,0.734327910419257,0.794117647058824,0.703600420502101,0.896279790339266
2010,6,"Stage1","Smoke0",0.674744840638271,0.653586476050551,0.692420827856267,0.764705882352941,0.670249376875647,0.872473898045392
2010,7,"Stage1","Smoke0",0.635307935451293,0.613804715854377,0.653963543391713,0.705882352941177,0.605482979406801,0.822929649784595
2010,8,"Stage1","Smoke0",0.599032857628799,0.576110240955887,0.618399938372997,0.661764705882353,0.558350780876292,0.78433225304038
2010,9,"Stage1","Smoke0",0.56561887108625,0.541926785010119,0.585868430190878,0.573529411764706,0.467244822084064,0.703990650323331
2010,10,"Stage1","Smoke0",0.534797777708724,0.509706215745589,0.556199917489434,0.573529411764706,0.467244822084064,0.703990650323331
2010,11,"Stage1","Smoke0",0.506330015003294,0.479467954332095,0.529439182136752,0.558823529411765,0.452437226419178,0.690225557909539
2010,12,"Stage1","Smoke0",0.480001263801796,0.451136259818128,0.505782575112247,0.558823529411765,0.452437226419178,0.690225557909539
2010,13,"Stage1","Smoke0",0.455619494234683,0.424731096358209,0.48398347832299,0.558823529411765,0.452437226419178,0.690225557909539
2010,14,"Stage1","Smoke0",0.433012388974488,0.400426012997428,0.463528099947422,NA,NA,NA
2010,15,"Stage1","Smoke0",0.412025091810866,0.376792384387444,0.443795048275517,NA,NA,NA
2011,0,"Stage1","Smoke0",1,1,1,1,1,1
2011,1,"Stage1","Smoke0",0.935284793217413,0.928024809573265,0.941056089114633,0.980392156862745,0.943069123094408,1
2011,2,"Stage1","Smoke0",0.876149767897281,0.863654852952524,0.885972562050716,0.88235294117647,0.798214388783994,0.975360409111157
2011,3,"Stage1","Smoke0",0.822028768660024,0.80571432321812,0.834438711507174,0.823529411764706,0.725277013352385,0.935091943568891
2011,4,"Stage1","Smoke0",0.772420602439518,0.753821312546778,0.787328163392589,0.745098039215686,0.634597367739997,0.874839884729118
2011,5,"Stage1","Smoke0",0.7268808100031,0.707599406255568,0.742782595287956,0.686274509803922,0.570045247221705,0.826202314819826
2011,6,"Stage1","Smoke0",0.685014569746418,0.66471372146968,0.702866934869864,0.666666666666667,0.549069385358874,0.809450419738762
2011,7,"Stage1","Smoke0",0.646470566433068,0.6251804145358,0.665636221453485,0.627450980392157,0.507850815519094,0.775217289732357
2011,8,"Stage1","Smoke0",0.610935683877102,0.588419985682287,0.630824038862398,0.588235294117647,0.46754977160062,0.740072570372775
2011,9,"Stage1","Smoke0",0.578130402513994,0.553867381765179,0.598716978458843,0.549019607843137,0.428115429045872,0.704068364151238
2011,10,"Stage1","Smoke0",0.547804801139077,0.522250512306822,0.569464460598723,0.529411764705882,0.408712800089056,0.685754927538178
2011,11,"Stage1","Smoke0",0.51973507743791,0.49227868841943,0.543419348312664,0.509803921568627,0.389516396885082,0.667237735112417
2011,12,"Stage1","Smoke0",0.493720514803057,0.46471484844579,0.519043302906678,0.509803921568627,0.389516396885082,0.667237735112417
2011,13,"Stage1","Smoke0",0.469580833746757,0.438930850133949,0.497173517490149,NA,NA,NA
2011,14,"Stage1","Smoke0",0.447153875324528,0.414289746949857,0.477603762504585,NA,NA,NA
2011,15,"Stage1","Smoke0",0.426293571665556,0.391092967496758,0.45878501188026,NA,NA,NA
2012,0,"Stage1","Smoke0",1,1,1,1,1,1
2012,1,"Stage1","Smoke0",0.937690447436906,0.931997071053167,0.943053367593912,0.947368421052632,0.898473040311819,0.998924714420227
2012,2,"Stage1","Smoke0",0.880608901890484,0.870560311991365,0.890109361011289,0.907894736842105,0.84515474992118,0.975292221054746
2012,3,"Stage1","Smoke0",0.82823762344559,0.814786369348175,0.840812492783019,0.776315789473684,0.688061447061668,0.875890093188341
2012,4,"Stage1","Smoke0",0.780116984565686,0.764035034933545,0.79475325441025,0.736842105263158,0.644204367459314,0.842801315101193
2012,5,"Stage1","Smoke0",0.7358382584892,0.718462294629484,0.751957906393914,0.697368421052632,0.601369578713192,0.808691912421097
2012,6,"Stage1","Smoke0",0.69503738101404,0.676456183926905,0.712329345973298,0.671052631578947,0.573317569187683,0.785448865603515
2012,7,"Stage1","Smoke0",0.657389544433896,0.638298720740799,0.675861807661227,0.592105263157895,0.491313592076958,0.713574076339342
2012,8,"Stage1","Smoke0",0.622604504226169,0.60193246741112,0.641974550142167,0.552631578947368,0.451425378086056,0.676527454758297
2012,9,"Stage1","Smoke0",0.590422497355077,0.568431669410125,0.61062098697885,0.526315789473684,0.42522366221507,0.651441429214731
2012,10,"Stage1","Smoke0",0.560610686359795,0.536927929349595,0.582336143813402,0.5,0.399328669338255,0.626050717606341
2012,11,"Stage1","Smoke0",0.532960056250324,0.507384546594943,0.556883540944428,0.473684210526316,0.373738488230491,0.600357571852653
2012,12,"Stage1","Smoke0",0.507282702047563,0.479174236812406,0.533014510810424,NA,NA,NA
2012,13,"Stage1","Smoke0",0.483409453919283,0.453685030609278,0.511519183045832,NA,NA,NA
2012,14,"Stage1","Smoke0",0.461187794561748,0.429076773368645,0.49149613935741,NA,NA,NA
2012,15,"Stage1","Smoke0",0.440480029989729,0.40610803527186,0.473202750287176,NA,NA,NA
2013,0,"Stage1","Smoke0",1,1,1,1,1,1
2013,1,"Stage1","Smoke0",0.940009571467624,0.934496254438066,0.945581995057372,0.96875,0.93456267975253,1
2013,2,"Stage1","Smoke0",0.88491822902062,0.875449791411827,0.894325325104547,0.96875,0.93456267975253,1
2013,3,"Stage1","Smoke0",0.834252312870083,0.82162512080141,0.846431632058417,0.927083333333333,0.876505507931951,0.980579698777172
2013,4,"Stage1","Smoke0",0.787590179146466,0.772967070980379,0.801986858900726,0.895833333333333,0.836763937388301,0.959072595331869
2013,5,"Stage1","Smoke0",0.744555874603789,0.72881462402067,0.760417933009899,0.833333333333333,0.762020924285829,0.911319390731012
2013,6,"Stage1","Smoke0",0.704813648908,0.688337194458721,0.722113527403658,0.760416666666667,0.679653617131083,0.850776766826097
2013,7,"Stage1","Smoke0",0.668063185167097,0.650375424563137,0.68599308472326,0.739583333333333,0.656804400409554,0.832795131401936
2013,8,"Stage1","Smoke0",0.634035447493862,0.615198610815472,0.652670571459453,0.71875,0.634210666931266,0.814558299688749
2013,9,"Stage1","Smoke0",0.602489059607718,0.582132437205386,0.622016433169939,0.6875,0.600760436276661,0.786763277770731
2013,10,"Stage1","Smoke0",0.573207141274681,0.550520969198458,0.593772796452909,0.677083333333333,0.589720613949979,0.777388189310716
2013,11,"Stage1","Smoke0",0.545994540160021,0.521631973048403,0.568049127087452,NA,NA,NA
2013,12,"Stage1","Smoke0",0.520675405762198,0.494263362244457,0.544790277810139,NA,NA,NA
2013,13,"Stage1","Smoke0",0.497091059785452,0.468385912235696,0.523206839894834,NA,NA,NA
2013,14,"Stage1","Smoke0",0.475098123821081,0.44411077898088,0.503664834561685,NA,NA,NA
2013,15,"Stage1","Smoke0",0.4545668707337,0.420908513748175,0.48517882752013,NA,NA,NA
2014,0,"Stage1","Smoke0",1,1,1,1,1,1
2014,1,"Stage1","Smoke0",0.942245061496816,0.935769603249587,0.947428352098161,0.962962962962963,0.922701702493281,1
2014,2,"Stage1","Smoke0",0.889081986072233,0.878231251925035,0.897948179888817,0.91358024691358,0.854393794158959,0.976866724988637
2014,3,"Stage1","Smoke0",0.840077258184831,0.826438298388526,0.851388258019992,0.876543209876543,0.807753517636754,0.951191151761954
2014,4,"Stage1","Smoke0",0.79484394973644,0.778774305474009,0.807621289827061,0.864197530864197,0.792722420320984,0.942117131049946
2014,5,"Stage1","Smoke0",0.753036167796089,0.735295737137323,0.767171860598273,0.802469135802469,0.720285271638884,0.894030100671571
2014,6,"Stage1","Smoke0",0.714344223735885,0.69589138556569,0.729400688553704,0.765432098765432,0.678500452193119,0.863501705749336
2014,7,"Stage1","Smoke0",0.678490422825131,0.659464481833722,0.695055730453952,0.728395061728395,0.637696307847281,0.831993786731118
2014,8,"Stage1","Smoke0",0.64522538840597,0.626017554175273,0.663034836266588,0.703703703703704,0.610969540712369,0.810513241018407
2014,9,"Stage1","Smoke0",0.614324847464881,0.594580449393574,0.634117922470926,0.617283950617284,0.520013039380528,0.732749848241497
