"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
1685,1,0,0,0,0,0,0,0,55,75,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1685,"Baseline",9849514337.59,85625986.45,9204513936.05,645000401.54,507319124,2145339,709126,569777,182154,75834,106320,1398,1398,0,93695,41299,52396,1398,1398,0,138214,58693,79521,126027,56459,69568,110885,49550,61335,126461,471752.823211286,3031.42000000179,1430080943.34,434,5350,66,4.72103004291846,26.5588328930766,523
1686,1,0,0,0,0,0,0,0,60,75,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1686,"Baseline",9433348463.88,85625408.24,8974975466.82,458372997.06,507317876,1527714,581890,405239,182148,75828,106320,1216,1216,0,93689,41293,52396,1216,1216,0,138283,58762,79521,126093,56525,69568,110960,49625,61335,126461,413301.376414049,2453.20999999344,1013915069.63,368,4102,60,4.93421052631579,26.525841878781,454
1687,1,0,0,0,0,0,0,0,50,80,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1687,"Baseline",10485059785.17,85627027.08,9555310665.93,929749119.23,507320856,3098645,858754,823105,182230,75910,106320,2048,2048,0,93962,41566,52396,1946,1946,0,137973,58452,79521,125860,56292,69568,110682,49347,61335,126461,507269.407527293,4072.04999999702,2065626390.92,601,7082,142,6.93359375,26.5633849634276,764
1688,1,0,0,0,0,0,0,0,55,80,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1688,"Baseline",10031036049.98,85626572.26,9304679381.1,726356668.87,507319745,2427892,731910,644616,182227,75907,106320,1921,1921,0,93959,41563,52396,1819,1819,0,138027,58506,79521,125900,56332,69568,110732,49397,61335,126461,445535.024239028,3617.23000000417,1611602655.73,561,5971,139,7.23581467985424,26.550439640643,710
1689,1,0,0,0,0,0,0,0,60,80,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1689,"Baseline",9614870176.27,85625994.06,9075140911.87,539729264.4,507318497,1810267,604829,480078,182221,75901,106320,1739,1739,0,93953,41557,52396,1637,1637,0,138096,58575,79521,125966,56398,69568,110807,49472,61335,126461,393361.296867596,3039.03000000119,1195436782.02,495,4723,133,7.64807360552041,26.5197343817238,641
1690,1,0,0,0,0,0,0,0,50,85,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1690,"Baseline",10599205572.21,85627331.27,9621305416.11,977900156.1,507321037,3272053,868482,869030,182377,76057,106320,2572,2572,0,93962,41566,52396,1946,1946,0,137863,58342,79521,125799,56231,69568,110621,49286,61335,126461,498092.467040809,4376.23999999464,2179772177.96,662,7263,289,11.2363919129082,26.5591663704714,874
1691,1,0,0,0,0,0,0,0,55,85,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1691,"Baseline",10145181837.02,85626876.44,9370674131.28,774507705.74,507319926,2601300,741638,690541,182374,76054,106320,2445,2445,0,93959,41563,52396,1819,1819,0,137917,58396,79521,125839,56271,69568,110671,49336,61335,126461,440083.654290568,3921.40999999642,1725748442.77,622,6152,286,11.6973415132924,26.5459962326529,820
1692,1,0,0,0,0,0,0,0,60,85,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1692,"Baseline",9729015963.31,85626298.24,9141135662.05,587880301.26,507318678,1983675,614559,526003,182368,76048,106320,2263,2263,0,93953,41557,52396,1637,1637,0,137986,58465,79521,125905,56337,69568,110746,49411,61335,126461,391714.121775948,3343.20999999344,1309582569.06,556,4904,280,12.3729562527618,26.5165916795846,751
1693,1,0,0,0,0,0,0,0,50,75,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1693,"Baseline",11109801251.01,85627566.33,9897952491.35,1211848759.66,507322256,4022856,881393,1068751,182186,75866,106320,1953,1953,0,93736,41340,52396,1953,1953,0,137954,58433,79521,125833,56265,69568,110636,49301,61335,126461,583429.370624713,4611.29999999702,2690367856.76,628,8482,98,5.0179211469534,26.5669713258441,783
1694,1,0,0,0,0,0,0,0,55,75,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1694,"Baseline",10461768182.71,85626899.53,9540537116.09,921231066.63,507320693,3064419,754810,813438,182183,75863,106320,1795,1795,0,93733,41337,52396,1795,1795,0,138029,58508,79521,125891,56323,69568,110710,49375,61335,126461,517767.724289517,3944.5,2042334788.46,570,6919,95,5.2924791086351,26.5446076401432,708
1695,1,0,0,0,0,0,0,0,60,75,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1695,"Baseline",9869985357.5,85626126.96,9215248702.21,654736655.28,507319062,2182334,624648,578927,182176,75856,106320,1574,1574,0,93726,41330,52396,1574,1574,0,138130,58609,79521,125979,56411,69568,110815,49480,61335,126461,457308.945422359,3171.92999999225,1450551963.25,482,5288,88,5.59085133418043,26.5278825331045,607
