"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"beta120",2.71128997300014,0.000423874556000922,0.0500495287020423,2.61341757394288,2.67763629731337,2.71134552583285,2.74496903041427,2.80892016801237,13942.0067525148,0.999995254624761
"beta121",0.060017774623081,8.97263806687643e-05,0.0100197194009224,0.040528270064965,0.0531364272009415,0.060045184355799,0.0667303721381788,0.079728037527689,12470.1253568561,1.00057552207985
"beta12_yob",0.0456408065298341,7.88301574888431e-05,0.0101253877726064,0.0257595975222067,0.0388290944956264,0.0455777071821684,0.0525544199312952,0.0653424375186749,16498.2750787746,0.999825253461459
"log_sigma12",0.211050692019785,0.000725497166222308,0.0841201606644177,0.0460708012654949,0.154766341483227,0.209846023028919,0.266997069781745,0.378618575529315,13444.007501323,0.999845291506914
"mu_race12",0.00356499077703814,0.000438259784135853,0.0500320720244898,-0.0948590205928809,-0.0304903146217856,0.00380852799345565,0.0369941770928312,0.102915280360755,13032.6801605685,1.0000829575292
"sigma_race12",3.85750474334072,0.0263385050105463,1.35123904251307,2.14498089000645,2.94482134673996,3.57673766947509,4.42813237000337,7.276961034637,2631.97723975995,1.00164526346331
"z_race12[1]",1.07295393145358,0.00645514020399142,0.313669826022787,0.52253309124913,0.848582620735664,1.05279415042912,1.27381136846571,1.73373488706927,2361.20735392726,1.00193824947098
"z_race12[2]",1.01678156243354,0.0061184189775601,0.298623381522149,0.492195187025448,0.804848536831463,0.997618135029606,1.2074649639795,1.66175289139849,2382.15047453689,1.00196941907254
"z_race12[3]",1.10290396604905,0.00660913059297837,0.323355500148687,0.533750223106435,0.871272633364336,1.08332827502324,1.30610470159852,1.78263934032117,2393.71167643187,1.00191703474315
"z_race12[4]",1.11900226488861,0.00678619791056306,0.331211031226477,0.54409877881491,0.884417331971809,1.09458193639518,1.33069594457232,1.83338524438206,2382.0811006966,1.00184925570375
"log_a23",-2.31941106234259,0.00560857225540221,0.497553099459496,-3.28306711632979,-2.65779229461989,-2.32150160886599,-1.98453351135046,-1.33916215022574,7869.99095837644,0.999823376669045
"log_b23",3.80541719299142,0.000475951852024703,0.0508201656263141,3.7076306242226,3.77025754790767,3.80587747109577,3.8403000528936,3.9030608979107,11401.0830707867,1.0001074421495
"c23",0.0798484819744918,0.000503331898501932,0.0610845776769549,0.00326788749750172,0.0309861948727271,0.0671672727022895,0.11518764453078,0.22680994971671,14728.3549545162,1.00002293952039
"beta320",4.1861399236946,0.00642025725158781,0.539252841245422,3.12814481586277,3.8251213475691,4.18470081882307,4.5469765804041,5.25584015547583,7054.72393980221,1.00005669862754
"beta321",0.0736410354218867,5.11600205384851e-05,0.00616019297104411,0.0617585136955712,0.0694406942002473,0.073606479470134,0.0777664185241599,0.0858014736606897,14498.6382278438,0.999852626246247
"sigma12",1.23935900583847,0.000907208215403089,0.104703756028187,1.04714854777804,1.16738515993295,1.23348811657003,1.30603661935877,1.46026594841016,13320.1947305205,0.999793397843332
"a23",0.111286786263223,0.000643315551259249,0.0589636543096686,0.0375130236148303,0.0701028176879355,0.098126130741763,0.137444715627336,0.262065149471922,8400.80072078061,0.999827894508672
"b23",45.0020271271428,0.0213800355820828,2.28602746993298,40.7571231070728,43.3912387201478,44.9646880239195,46.5394366386405,49.5538966250473,11432.6272043046,1.0001025931089
"alpha_race12[1]",3.76954644938377,0.0018893716923939,0.218219487918802,3.36763711582272,3.62097961711731,3.75883617093798,3.91112253256935,4.23071134722934,13339.8902374968,0.999824961174388
"alpha_race12[2]",3.57233676985825,0.00201644121721182,0.232293808098967,3.14975050185142,3.41007387200568,3.56089049383845,3.71990547628929,4.05585277995651,13271.0148485069,0.999819353953439
"alpha_race12[3]",3.87616052215309,0.00233803819348703,0.263292565232929,3.3995351425859,3.69359231110356,3.86150353333274,4.04155453620177,4.43794819694456,12681.5981955799,0.999733502923765
"alpha_race12[4]",3.93494071354083,0.00304519830575268,0.333650843431566,3.34179821592451,3.70569177725407,3.90952966413882,4.14655983746401,4.65104099864375,12004.7548322805,0.999881795401331
"lp__",-2120.79175285746,0.0498715667351722,2.95574657464837,-2127.46909516207,-2122.57952393999,-2120.44685936105,-2118.64909585604,-2116.0360311525,3512.59732284358,1.00149953744035
