"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
13,1,50,80,1,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,"Baseline",13035259355.14,85771686.74,12030599167,1004660188.13,508011554,2991559,248589,785285,189388,69930,119458,20342,20342,0,100369,42343,58026,19095,19095,0,132158,42968,89190,62593,27453,35140,50766,20114,30652,67550,51251.3000283124,42080.4299999923,2156676743.25,4957,54341,1898,9.33044931668469,26.2500254883825,10100
14,1,50,80,1,25,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,"Baseline",12628842642.94,85768391.45,11814268858.7,814573784.24,508007057,2425391,205309,635495,189294,69836,119458,19029,19029,0,100158,42132,58026,17807,17807,0,132905,43715,89190,62941,27801,35140,51386,20734,30652,67550,45127.0778202676,38785.1400000006,1750260031.05,4609,49844,1804,9.48026696095433,26.2017546861516,9353
15,1,50,80,1,30,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,"Baseline",12300780305.25,85764323.51,11638432877.79,662347427.46,508001826,1970804,164832,515411,189108,69650,119458,17028,17028,0,99665,41639,58026,15907,15907,0,133882,44692,89190,63431,28291,35140,52200,21548,30652,67550,40965.2187780086,34717.200000003,1422197693.36,4119,44613,1618,9.50199671129904,26.1523215905793,8376
16,1,50,80,1,35,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,"Baseline",12037719200.98,85761509.71,11495762165.17,541957035.81,507998066,1611206,131672,420338,188960,69502,119458,15579,15579,0,99269,41243,58026,14641,14641,0,134545,45355,89190,63762,28622,35140,52754,22102,30652,67550,36332.6977403764,31903.3999999911,1159136589.09,3788,40853,1470,9.43577893317928,26.0884083102968,7713
17,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,1,15,1,0,0,0,0,0,0,8,17,"Baseline",11327692124.29,85737193.18,11137148666.65,190543457.64,507968471,581005,57728,153422,187702,68032,119670,3182,0,3182,96125,37410,58715,3014,0,3014,141090,53068,88022,66697,32410,34287,57875,28541,29334,67550,59195.6251260031,7586.87000000477,449109512.400002,853,11258,212,6.66247642991829,26.4063131986816,1168
18,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,5,15,1,0,0,0,0,0,0,8,18,"Baseline",11325168024.03,85737165.36,11135829193.54,189338830.49,507968416,577199,56467,152470,187702,68032,119670,3177,0,3177,96125,37410,58715,3009,0,3009,141092,53068,88024,66698,32410,34288,57877,28541,29336,67550,59079.5684828355,7559.04999999702,446585412.140001,852,11203,212,6.67296191375512,26.4154996803529,1166
19,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,10,15,1,0,0,0,0,0,0,8,19,"Baseline",11300557850.61,85737089.32,11122378314.63,178179535.98,507968270,542533,49431,143159,187702,68032,119670,3149,0,3149,96125,37410,58715,2981,0,2981,141100,53068,88032,66701,32410,34291,57884,28541,29343,67550,56391.1098235254,7483.00999999046,421975238.720001,849,11057,212,6.73229596697364,26.387150643371,1158
20,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,15,15,1,0,0,0,0,0,0,8,20,"Baseline",11229874611.87,85736692.57,11083848519.33,146026092.54,507967485,443150,38361,116741,187702,68032,119670,3037,0,3037,96125,37410,58715,2869,0,2869,141142,53068,88074,66737,32410,34327,57937,28541,29396,67550,49573.682024153,7086.25999999046,351291999.980001,813,10272,212,6.98057293381627,26.3434502989958,1116
21,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,15,1,0,0,0,0,0,0,8,21,"Baseline",11125667975.91,85735951.13,11025898957.91,99769018,507966209,302384,27427,79280,187690,68032,119658,2766,0,2766,96107,37410,58697,2598,0,2598,141238,53068,88170,66800,32410,34390,58051,28541,29510,67550,38942.8485000802,6344.81999999285,247085364.02,750,8996,200,7.23065798987708,26.2183184295465,1020
22,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,25,15,1,0,0,0,0,0,0,8,22,"Baseline",11039958296.42,85734384.11,10977324269.14,62634027.27,507963857,190308,18734,49495,187669,68032,119637,2234,0,2234,96028,37410,58618,2080,0,2080,141499,53068,88431,66955,32410,34545,58310,28541,29769,67550,33776.1489660725,4777.79999999702,161375684.530001,595,6644,179,8.01253357206804,26.0078399226517,759
23,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,30,15,1,0,0,0,0,0,0,8,23,"Baseline",10983765521.08,85733072.38,10943136543.17,40628977.91,507962075,123112,11789,32001,187612,68032,119580,1602,0,1602,95843,37410,58433,1480,0,1480,141691,53068,88623,67126,32410,34716,58547,28541,30006,67550,30346.4468952495,3466.06999999285,105182909.190001,424,4862,122,7.61548064918852,25.9934043797518,567
24,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,35,15,1,0,0,0,0,0,0,8,24,"Baseline",10955286251.3,85732379.94,10926136661.96,29149589.34,507961093,88163,7770,22785,187583,68032,119551,1256,0,1256,95733,37410,58323,1185,0,1185,141801,53068,88733,67220,32410,34810,58677,28541,30136,67550,27654.6040424035,2773.62999999523,76703639.4099998,330,3880,93,7.40445859872611,25.8441749940451,457
25,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,1,20,1,0,0,0,0,0,0,8,25,"Baseline",11440691655.8,85737944.03,11199860890.5,240830765.3,507969521,736657,72689,194564,187722,68032,119690,3531,0,3531,96198,37410,58788,3345,0,3345,140961,53068,87893,66612,32410,34202,57739,28541,29198,67550,67417.596646335,8337.71999999881,562109043.91,938,12308,232,6.57037666383461,26.4117492944478,1297
26,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,5,20,1,0,0,0,0,0,0,8,26,"Baseline",11428752489.05,85737855.66,11193464940.56,235287548.49,507969379,719215,68038,189988,187722,68032,119690,3513,0,3513,96198,37410,58788,3327,0,3327,140970,53068,87902,66617,32410,34207,57748,28541,29207,67550,66692.5123992069,8249.34999999404,550169877.16,933,12166,232,6.60404212923427,26.4160230251038,1288
27,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,10,20,1,0,0,0,0,0,0,8,27,"Baseline",11374532818.81,85737689.27,11163894614.54,210638204.27,507969063,642492,55339,169573,187721,68032,119689,3452,0,3452,96197,37410,58787,3266,0,3266,140991,53068,87923,66623,32410,34213,57768,28541,29227,67550,61357.4986045214,8082.95999999344,495950206.92,927,11850,231,6.69177288528389,26.393013453864,1267
28,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,15,20,1,0,0,0,0,0,0,8,28,"Baseline",11273697787.8,85737133.81,11108705723.72,164992064.09,507968023,501509,41328,132100,187719,68032,119687,3285,0,3285,96193,37410,58783,3100,0,3100,141051,53068,87983,66677,32410,34267,57847,28541,29306,67550,52489.5617283294,7527.5,395115175.91,873,10810,229,6.97108066971081,26.340504357848,1207
29,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,20,20,1,0,0,0,0,0,0,8,29,"Baseline",11149086616.19,85736244.64,11039415401.98,109671214.21,507966557,332868,28750,87313,187706,68032,119674,2932,0,2932,96162,37410,58752,2752,0,2752,141176,53068,88108,66763,32410,34353,57992,28541,29451,67550,40748.8034340074,6638.32999999821,270504004.300001,787,9344,216,7.36698499317872,26.2305178028528,1082
30,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,25,20,1,0,0,0,0,0,0,8,30,"Baseline",11053365676.91,85734589.56,10985098476.81,68267200.1,507964102,207637,19415,54036,187676,68032,119644,2346,0,2346,96060,37410,58650,2188,0,2188,141459,53068,88391,66930,32410,34520,58268,28541,29727,67550,35074.1112767773,4983.25,174783065.02,620,6889,186,7.92838874680307,26.0242634983168,799
31,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,30,20,1,0,0,0,0,0,0,8,31,"Baseline",10992539262.79,85733264.13,10948338855.4,44200407.4,507962309,134092,12192,34850,187619,68032,119587,1700,0,1700,95875,37410,58465,1575,0,1575,141653,53068,88585,67101,32410,34691,58506,28541,29965,67550,31154.2533258127,3657.81999999285,113956650.900002,449,5096,129,7.58823529411765,25.9896190675059,605
32,1,0,0,0,0,0,0,0,0,0,0,0,0,50,80,1,35,20,1,0,0,0,0,0,0,8,32,"Baseline",10960164907.27,85732482.81,10929056864.92,31108042.35,507961215,94164,7972,24317,187586,68032,119554,1313,0,1313,95756,37410,58346,1239,0,1239,141777,53068,88709,67206,32410,34796,58653,28541,30112,67550,28361.6531826877,2876.5,81582295.3800011,344,4002,96,7.31150038080731,25.8240941336392,481
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,"Mild (20%)",10707109641.9,85739557.68,10707109641.9,0,507972658,0,0,0,182091,63916,118175,0,0,0,92741,35415,57326,0,0,0,138109,49896,88213,65719,30997,34722,57547,27263,30284,65719,NA,0,0,0,0,0,NA,NA,0
1,1,50,80,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,"Mild (20%)",13163856124.76,85780141.28,12020496218.34,1143359906.42,508025297,3387493,305933,890592,183823,65648,118175,19208,19208,0,97224,39898,57326,18087,18087,0,128571,40358,88213,61065,26343,34722,49528,19244,30284,65719,60535.4498580797,40583.599999994,2456746482.86,4654,52639,1732,9.0170762182424,26.2905930728122,9538
2,1,50,80,1,5,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,"Mild (20%)",13159511238,85780133.29,12018154513.8,1141356724.2,508025281,3381293,303902,888895,183823,65648,118175,19206,19206,0,97224,39898,57326,18085,18085,0,128573,40360,88213,61065,26343,34722,49530,19246,30284,65719,60440.2890332403,40575.6099999994,2452401596.1,4654,52623,1732,9.01801520358221,26.2886120782789,9536
3,1,50,80,1,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,"Mild (20%)",13113112817.41,85780066.16,11993148751.49,1119964065.92,508025175,3315857,290558,871406,183822,65647,118175,19182,19182,0,97223,39897,57326,18061,18061,0,128583,40370,88213,61067,26345,34722,49539,19255,30284,65719,59395.0495182894,40508.4799999893,2406003175.51,4652,52517,1731,9.02408507976228,26.2799632191617,9526
4,1,50,80,1,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,"Mild (20%)",12935277668.75,85779646.26,11897730864.83,1037546803.92,508024426,3068637,262558,805993,183819,65644,118175,19044,19044,0,97220,39894,57326,17923,17923,0,128651,40438,88213,61094,26372,34722,49601,19317,30284,65719,55581.11628923,40088.5799999982,2228168026.85,4625,51768,1728,9.07372400756144,26.2655048479178,9458
