"ID","screen","male_ever_smoker_min_age","male_ever_smoker_max_age","male_ever_smoker_uptake","male_ever_smoker_pack_yrs","male_ever_smoker_quitting_period","male_ever_smoker_frequency","male_ever_smoker_family_history","male_never_smoker_min_age","male_never_smoker_max_age","male_never_smoker_uptake","male_never_smoker_frequency","male_never_smoker_family_history","female_ever_smoker_min_age","female_ever_smoker_max_age","female_ever_smoker_uptake","female_ever_smoker_pack_yrs","female_ever_smoker_quitting_period","female_ever_smoker_frequency","female_ever_smoker_family_history","female_never_smoker_min_age","female_never_smoker_max_age","female_never_smoker_uptake","female_never_smoker_frequency","female_never_smoker_family_history","Seed","Strategy","Smoking_ban_policy","Cost","QALY","Treatment_cost","Screen_cost","Life.Years","Total.Screens.Required","Total.number.of.screened.people","False.Positives","Total.cases.diagnosed","Total.Male.cases.diagnosed","Total.Female.cases.diagnosed","Total.screened.detected","Total.Male.screened.detected","Total.Female.screened.detected","Total.cases.diagnosed..80","Total.Male.cases.diagnosed..80","Total.Female.cases.diagnosed..80","Total.screened.detected..80","Total.Male.screened.detected..80","Total.Female.screened.detected..80","Late.cases.diagnosed","Late.Male.cases.diagnosed","Late.Female.cases.diagnosed","Total.deaths","Total.Male.deaths","Total.Female.deaths","Late.deaths","Late.Male.deaths","Late.Female.deaths","Base_Deaths","ICER","QALY_Gain","Additional_cost","Deaths_Averted","LYG","OverDiagnosis","OD_rate","FP_rate","LSA"
16,1,60,80,1,35,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,"Immediate Ban (100%)",10252586031.7,85740498.23,10058193742.73,194392288.97,507962454,533327,98258,137045,172173,56354,115819,9160,9160,0,88460,32616,55844,8530,8530,0,126771,40311,86460,60094,26588,33506,50739,21637,29102,61924,28052.3394024146,16227.6099999994,455222423.41,1830,18548,821,8.96288209606987,25.6962426428814,3338
17,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,1,15,2,0,0,0,0,0,0,24,17,"Immediate Ban (100%)",9894487955.79,85726824.3,9858182030.61,36305925.18,507947203,97367,23144,25259,171439,55533,115906,1212,0,1212,86712,30593,56119,1152,0,1152,129868,43649,86219,61648,28418,33230,53477,24762,28715,61924,38033.092439262,2553.67999999225,97124347.5,276,3297,87,7.17821782178218,25.942054289441,241
18,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,5,15,2,0,0,0,0,0,0,24,18,"Immediate Ban (100%)",9894473275.94,85726824.3,9858176118.65,36297157.28,507947203,97342,23127,25255,171439,55533,115906,1212,0,1212,86712,30593,56119,1152,0,1152,129868,43649,86219,61648,28418,33230,53477,24762,28715,61924,38027.3439312264,2553.67999999225,97109667.6499996,276,3297,87,7.17821782178218,25.9446076719196,241
19,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,10,15,2,0,0,0,0,0,0,24,19,"Immediate Ban (100%)",9893552826.83,85726820.1,9857701059.41,35851767.42,507947199,96036,22430,24926,171439,55533,115906,1208,0,1208,86712,30593,56119,1148,0,1148,129868,43649,86219,61649,28418,33231,53478,24762,28716,61924,37728.9559205814,2549.47999998927,96189218.539999,275,3293,87,7.20198675496689,25.9548502644842,241
20,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,15,15,2,0,0,0,0,0,0,24,20,"Immediate Ban (100%)",9884757600.25,85726733.09,9852816792.95,31940807.3,507947054,84895,18464,21994,171438,55533,115905,1182,0,1182,86711,30593,56118,1122,0,1122,129873,43649,86224,61655,28418,33237,53485,24762,28723,61924,35490.3783437124,2462.46999999881,87393991.9599991,269,3148,86,7.27580372250423,25.9072972495436,236
21,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,20,15,2,0,0,0,0,0,0,24,21,"Immediate Ban (100%)",9861552235.42,85726416.91,9839228874.34,22323361.07,507946582,58604,12717,15154,171428,55533,115895,1040,0,1040,86690,30593,56097,982,0,982,129909,43649,86260,61687,28418,33269,53533,24762,28771,61924,29906.7819960251,2146.28999999166,64188627.1299992,237,2676,76,7.30769230769231,25.8583031874957,200
22,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,25,15,2,0,0,0,0,0,0,24,22,"Immediate Ban (100%)",9837806347.87,85725824.62,9824775351.59,13030996.28,507945863,34199,8045,8793,171408,55533,115875,767,0,767,86622,30593,56029,723,0,723,129972,43649,86323,61759,28418,33341,53628,24762,28866,61924,26024.9289446589,1554,40442739.5799999,165,1957,56,7.30117340286832,25.711278107547,137
23,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,30,15,2,0,0,0,0,0,0,24,23,"Immediate Ban (100%)",9827133873.61,85725531.17,9817982771.03,9151102.58,507945537,24167,5319,6156,171393,55533,115860,589,0,589,86564,30593,55971,560,0,560,130001,43649,86352,61789,28418,33371,53678,24762,28916,61924,23616.885740407,1260.54999999702,29770265.3199997,135,1631,41,6.96095076400679,25.472752099971,108
24,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,35,15,2,0,0,0,0,0,0,24,24,"Immediate Ban (100%)",9820592528.94,85725338.33,9813464076.28,7128452.67,507945270,18657,3844,4712,171386,55533,115853,499,0,499,86548,30593,55955,474,0,474,130012,43649,86363,61806,28418,33388,53700,24762,28938,61924,21755.8331851741,1067.70999999344,23228920.6499996,118,1364,34,6.81362725450902,25.2559361097711,97
25,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,1,20,2,0,0,0,0,0,0,24,25,"Immediate Ban (100%)",9930282522.2,85727383.15,9878290821.36,51991700.84,507948058,148202,31894,38681,171460,55533,115927,1511,0,1511,86786,30593,56193,1433,0,1433,129788,43649,86139,61578,28418,33160,53383,24762,28621,61924,42704.4603296832,3112.53000000119,132918913.91,346,4152,108,7.1475843812045,26.100187581814,321
26,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,5,20,2,0,0,0,0,0,0,24,26,"Immediate Ban (100%)",9930074663.34,85727383.15,9878177236.22,51897427.12,507948058,147894,31708,38600,171460,55533,115927,1511,0,1511,86786,30593,56193,1433,0,1433,129788,43649,86139,61578,28418,33160,53383,24762,28621,61924,42637.6790103062,3112.53000000119,132711055.049999,346,4152,108,7.1475843812045,26.0997741625759,321
27,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,10,20,2,0,0,0,0,0,0,24,27,"Immediate Ban (100%)",9925894922.88,85727356.05,9876008993.86,49885929.02,507948031,141504,28824,36962,171460,55533,115927,1495,0,1495,86786,30593,56193,1417,0,1417,129793,43649,86144,61582,28418,33164,53387,24762,28625,61924,41657.5046558571,3085.42999999225,128531314.589998,342,4125,108,7.22408026755853,26.120816372682,316
28,1,0,0,0,0,0,0,0,0,0,0,0,0,60,80,1,15,20,2,0,0,0,0,0,0,24,28,"Immediate Ban (100%)",9906647898.9,85727172.9,9865379789.88,41268109.01,507947727,115293,21496,29980,171458,55533,115925,1414,0,1414,86780,30593,56187,1336,0,1336,129814,43649,86165,61597,28418,33179,53407,24762,28645,61924,37654.633808576,2902.28000000119,109284290.609999,327,3821,106,7.4964639321075,26.0033132974248,295
